direcao,nota_media
"Amariah Olson, Obin Olson",4.466666666666666
Amber Benson,6.75
"Amber Benson, Adam Busch",6.3
"Amber Dawn Lee, Rob Brownstein",3.4
Amber McGinnis,5.4
Amber Tamblyn,5.6
Ami Canaan Mann,5.75
Amin Matalqa,6.6
"Amin Matalqa, Annemarie Jacir",5.1
Amin Q. Chaudhri,5.45
Amir Mann,3.25
Amir Mo,2.3
Amir Motlagh,3.1
Amir Naderi,6.2
Amir Shervan,4.6000000000000005
Amir Valinia,3.1
Amman Abbasi,6.4
Amos Kollek,5.45
Amos McKay,6.8
Amos Poe,5.24
Amy Berg,6.1
Amy Goldstein,4.0
Amy Heckerling,5.988888888888889
Amy Holden Jones,5.6
Amy Lynn Best,3.7
Amy Poehler,5.4
Amy Redford,6.5
Amy S. Weber,7.0
Amy Seimetz,5.65
Amy Snow,4.4
Amy Talkington,5.8
Amy Waddell,4.1
Amy Wendel,5.3
Amyn Kaderali,5.5
Ana Asensio,5.7
Ana Lily Amirpour,6.15
Ana Zins,3.8
Anand Tucker,6.3
Anatole Litvak,6.928571428571429
"Anatole Litvak, Jean Negulesco",7.3
Anders Anderson,6.1
Anderson Boyd,6.2
Anderson Cowan,5.6
Andre Hyland,4.9
Andre R. Guttfreund,4.7
Andreas Brandy,4.3
Andrei Severny,6.1
Andres Heinz,4.3
Andres Torres,5.4
Andrew Adamson,6.8
"Andrew Adamson, Kelly Asbury",7.2
"Andrew Adamson, Vicky Jenson",7.8
Andrew Ahn,6.75
Andrew Bakalar,5.5
Andrew Bellware,2.2199999999999998
Andrew Bergman,5.64
Andrew Black,4.666666666666667
Andrew Bowen,5.9
Andrew Bowler,5.8
"Andrew Bowser, Joseph M. Petrick",6.3
Andrew Brotzman,5.4
Andrew Bujalski,6.2
Andrew Bush,5.5
Andrew C. Erin,5.4
Andrew Chapman,5.3
Andrew Chiaramonte,4.2
Andrew Davis,6.24
Andrew Dean,4.3
Andrew Disney,5.3
Andrew Dominik,6.2
"Andrew Donoho, Chuck Lightning",7.3
Andrew Dosunmu,5.6
Andrew Douglas,6.0
Andrew Drazek,3.35
Andrew Droz Palermo,5.2
Andrew Edison,4.5
"Andrew Erwin, Jon Erwin",6.425
Andrew Finnigan,3.9
"Andrew Fisher, Joseph Henson",3.7
Andrew Fitzgerald,4.8
Andrew Fleming,6.2
Andrew Gallerani,6.3
Andrew Gernhard,3.5
Andrew Getty,5.5
Andrew Gibson,6.3
Andrew Heckler,6.5
Andrew Hunt,6.9
Andrew Hyatt,5.075
"Andrew Janczak, Tom DeSimone",3.3
Andrew Jarecki,6.3
Andrew Jay Cohen,5.6
"Andrew Jordan, Andrew Jordan",5.5
Andrew Kightlinger,5.2
Andrew L. Stone,6.275
"Andrew L. Stone, Friz Freleng",6.6
